Minimum_Temperature,Maximum_Temperature,Temperature,Dew_Point,Relative_Humidity,Wind_Speed,Wind_Direction,Precipitation,Visibility,Cloud_Cover,Sea_Level_Pressure,Weather_Type
62.6,62.6,62.6,59,88.01,0,0,0,1.2,0,1015,Mist
60.8,60.8,60.8,59,93.79,0,0,0,1.2,0,1015,Mist
63.1,63.1,63.1,60.4,90.99,0,0,0,0.6,0,1015.4,"Mist, Fog"
60.8,60.8,60.8,59,93.79,5.8,20,0,0.6,0,1014,Mist
59,59,59,57.2,93.75,0,0,0,1.2,0,1014,Mist
61.7,61.7,61.7,59.5,92.6,0,0,0,0.6,0,1015.8,Fog
57.2,57.2,57.2,57.2,100,0,0,0,0,100,1016,Fog
59,59,59,59,100,0,0,0,0,100,1017,Fog
65.2,65.2,65.2,63.4,93.88,0,0,0,0.9,15.3,1018.2,"Fog, Smoke Or Haze"
68,68,68,66.2,93.97,3.4,120,0,0.6,0,1018,Fog
71.6,71.6,71.6,66.2,83.11,5.8,130,0,1.2,0,1017,Mist
76,76,76,63.5,65.38,3,59,0,2.1,0,1016.8,Smoke Or Haze
77,77,77,62.6,61.16,4.7,10,0,1.9,0,1015,Smoke Or Haze
77,77,77,60.8,57.39,4.7,30,0,1.9,0,1014,Smoke Or Haze
77.5,77.5,77.5,62.6,60.14,2.9,247,0,1.5,0,1013.9,Smoke Or Haze
77,77,77,60.8,57.39,4.7,10,0,1.9,0,1013,Smoke Or Haze
73.4,73.4,73.4,60.8,64.72,4.7,360,0,1.9,0,1013,Smoke Or Haze
73.2,73.2,73.2,64.5,74.1,0,354,0,1.5,0,1014.2,Smoke Or Haze
71.6,71.6,71.6,64.4,78.06,3.4,20,0,1.9,0,1014,Mist
69.8,69.8,69.8,64.4,82.99,0,0,0,1.2,0,1014,Mist
68.2,68.2,68.2,64,86.4,1,160,0,1.3,0,1015.5,"Mist, Smoke Or Haze"
66.2,66.2,66.2,62.6,88.19,0,0,0,1.2,0,1015,Mist
66.2,66.2,66.2,62.6,88.19,0,0,0,1.2,0,1015,Mist
65.2,65.2,65.2,62.5,91.17,0,360,0,1.2,0,1016.2,Smoke Or Haze
62.6,62.6,62.6,59,88.01,0,0,0,1.2,0,1015,Mist
62.6,62.6,62.6,59,88.01,3.4,10,0,1.2,0,1015,Mist
63.6,63.6,63.6,61,91.35,0,360,0,1.2,0,1015,"Mist, Smoke Or Haze"
62.6,62.6,62.6,59,88.01,0,0,0,0.6,0,1014,Mist
62.6,62.6,62.6,59,88.01,3.4,10,0,0.6,0,1014,Mist
62.8,62.8,62.8,61,93.87,0,0,0,1.1,0,1015.1,Mist
60.8,60.8,60.8,57.2,87.93,0,0,0,0.6,0,1015,Mist
60.8,60.8,60.8,57.2,87.93,0,0,0,0.6,0,1016,Mist
66.4,66.4,66.4,62.3,86.67,1,359,0,1.1,0,1017.6,"Mist, Fog, Smoke Or Haze"
69.8,69.8,69.8,62.6,77.92,3.4,360,0,1.2,0,1017,Mist
